product_id,product_name,brand,price,unit_price,quantity,ean,article_number,description,image,product_url
00443875,BILLA Bio Gurken,,"1,89 €","1 kg 5,53 €",450 g Packung,00443875,Art. Nr.: 00-443875,BILLA Bio Gurken online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-443875-0615312939-hWh7sPfF.jpg,https://shop.billa.at/produkte/billa-bio-gurken-00443875
00425215,Clever Toastschinken,,"2,49 €","100 g 1,25 €",200 g Packung,00425215,Art. Nr.: 00-425215,Clever Toastschinken online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-425215-851353062-vzXauxow.jpg,https://shop.billa.at/produkte/clever-toastschinken-00425215
00769921,Schwechater Bier,,"1,39 €",,"500 ml 1,39 €",00769921,Art. Nr.: 00-769921,Schwechater Bier online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769921-0801077395-0HS5v11t.jpg,https://shop.billa.at/produkte/schwechater-bier-00769921
00769927,Ottakringer Helles,,"1,44 €",,"500 ml 1,44 €",00769927,Art. Nr.: 00-769927,Ottakringer Helles online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769927-0198077459-tDNUiAIf.jpg,https://shop.billa.at/produkte/ottakringer-helles-00769927
00402495,Ja! Natürlich Zucchini,,"1,51 €","1 kg 5,53 €",450 g Packung,00402495,Art. Nr.: 00-402495,Ja! Natürlich Zucchini online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-402495-0864824494-KdAVmQ5z.jpg,https://shop.billa.at/produkte/ja-natuerlich-zucchini-00402495
0089479,Ja! Natürlich Maroni gegart,,"2,19 €",100 g Packung,100 g Packung,12345678,Art. Nr.: 00-89479,Ja! Natürlich Maroni gegart online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89479-0505196499-dtVQikM-.jpg,https://shop.billa.at/produkte/ja-natuerlich-maroni-gegart-0089479
00769496,Vöslauer Ohne,,"0,99 €","1 Liter 0,66 €","1 Liter 0,66 €",00769496,Art. Nr.: 00-769496,Vöslauer Ohne online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769496-0133796069-XIWOCDvP.jpg,https://shop.billa.at/produkte/voeslauer-ohne-00769496
00879969,Formil Haltbarmilch 3.5%,,"1,61 €","1 Liter 1,61 €",1 liter Packung,00879969,Art. Nr.: 00-879969,Formil Haltbarmilch 3.5% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-879969-1212061700-M3Dz1HOY.jpg,https://shop.billa.at/produkte/formil-haltbarmilch-35-00879969
00769767,Puntigamer 'Das bierige Bier',,"1,54 €",,"500 ml 1,54 €",00769767,Art. Nr.: 00-769767,Puntigamer 'Das bierige Bier' online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769767-0184636904-44loKMoZ.jpg,https://shop.billa.at/produkte/puntigamer-das-bierige-bier-00769767
00403275,Ölz Super Soft Sandwich,,"3,69 €","1 kg 4,92 €",750 g Packung,00403275,Art. Nr.: 00-403275,Ölz Super Soft Sandwich online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-403275-1597079756-2PJQU6q6.jpg,https://shop.billa.at/produkte/oelz-super-soft-sandwich-00403275
00480904,Ja! Natürlich Kaisersemmel,,"0,42 €","1 kg 8,54 €",65 g Stück,00480904,Art. Nr.: 00-480904,Ja! Natürlich Kaisersemmel online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-480904-0214729681-DOEUSD_P.jpg,https://shop.billa.at/produkte/ja-natuerlich-kaisersemmel-00480904
00769492,Waldquelle Mineralwasser Spritzig,,"0,75 €","1 Liter 0,50 €","1 Liter 0,50 €",00769492,Art. Nr.: 00-769492,Waldquelle Mineralwasser Spritzig online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769492-1652725042-VFDgRCWH.jpg,https://shop.billa.at/produkte/waldquelle-mineralwasser-spritzig-00769492
00429100,Da komm ich her! Zwiebel Gelb,,"1,23 €",1 kg Netz,1 kg Netz,00429100,Art. Nr.: 00-429100,Da komm ich her! Zwiebel Gelb online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-429100-738130977-FUHlenoI.jpg,https://shop.billa.at/produkte/da-komm-ich-her-zwiebel-gelb-00429100
00504029,Clever Vollmilch länger frisch 3.5%,,"1,32 €","1 Liter 1,32 €",1 liter Packung,00504029,Art. Nr.: 00-504029,Clever Vollmilch länger frisch 3.5% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-504029-60827286-cXNlje1k.jpg,https://shop.billa.at/produkte/clever-vollmilch-laenger-frisch-35-00504029
00341383,Da komm ich her! Freilandeier L,,"3,99 €",,11g,00341383,Art. Nr.: 00-341383,Da komm ich her! Freilandeier L online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-341383-445469860-AeuTfKur.jpg,https://shop.billa.at/produkte/da-komm-ich-her-freilandeier-l-00341383
00736948,Clever Küchenrolle,,"2,59 €",,,00736948,Art. Nr.: 00-736948,Clever Küchenrolle online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-736948-1535177106-jYDkLBfN.jpg,https://shop.billa.at/produkte/clever-kuechenrolle-00736948
00746506,Clever Haltbar-Vollmilch 3.5%,,"0,94 €","1 Liter 0,94 €",1 liter Packung,00746506,Art. Nr.: 00-746506,Clever Haltbar-Vollmilch 3.5% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-746506-2126336914-V6-v6tjw.jpg,https://shop.billa.at/produkte/clever-haltbarvollmilch-35-00746506
00769783,Coca Cola Zero,,"2,49 €","1 Liter 1,66 €","1 Liter 1,66 €",00769783,Art. Nr.: 00-769783,Coca Cola Zero online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769783-383342488-EZj0iOrI.jpg,https://shop.billa.at/produkte/coca-cola-zero-00769783
00651606,Ja! Natürlich Vollmilch länger frisch 3.5%,,"1,80 €","1 Liter 1,80 €",1 liter Packung,00651606,Art. Nr.: 00-651606,Ja! Natürlich Vollmilch länger frisch 3.5% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-651606-837117153-DI6pLFb2.jpg,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606
00769771,Wieselburger Gold,,"1,49 €",,"500 ml 1,49 €",00769771,Art. Nr.: 00-769771,Wieselburger Gold online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769771-1121213361-HpMbg0E1.jpg,https://shop.billa.at/produkte/wieselburger-gold-00769771
00769495,Vöslauer Prickelnd,,"0,89 €","1 Liter 1,78 €","1 Liter 1,78 €",00769495,Art. Nr.: 00-769495,Vöslauer Prickelnd online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769495-1870089943-kWWjP1Ov.jpg,https://shop.billa.at/produkte/voeslauer-prickelnd-00769495
0054310,Wiener Zucker Feinkristall-Zucker,,"1,79 €",1 kg Packung,1 kg Packung,12345678,Art. Nr.: 00-54310,Wiener Zucker Feinkristall-Zucker online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-54310-0439676670-DRxohcDw.jpg,https://shop.billa.at/produkte/wiener-zucker-feinkristallzucker-0054310
00437340,Berger Wellness Schinken Geschnitten,,"2,49 €",100 g Packung,100 g Packung,00437340,Art. Nr.: 00-437340,Berger Wellness Schinken Geschnitten online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-437340-0214279941-7uhO2Yrq.jpg,https://shop.billa.at/produkte/berger-wellness-schinken-geschnitten-00437340
00422295,BILLA Bio Haltbarmilch 3.5%,,"1,51 €","1 Liter 1,51 €",1 liter Packung,00422295,Art. Nr.: 00-422295,BILLA Bio Haltbarmilch 3.5% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-422295-0258761697-v1Vpyp9p.jpg,https://shop.billa.at/produkte/billa-bio-haltbarmilch-35-00422295
00504851,Ja! Natürlich Roggenbrot Pur,,"3,95 €","1 kg 5,64 €",700 g Stück,00504851,Art. Nr.: 00-504851,Ja! Natürlich Roggenbrot Pur online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-504851-1274666530-c9jAePVh.jpg,https://shop.billa.at/produkte/ja-natuerlich-roggenbrot-pur-00504851
00490096,BILLA Bio Kiwi,,"0,99 €",per 1 kg,"Ab 4,5 kg",00490096,Art. Nr.: 00-490096,BILLA Bio Kiwi online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-490096-0207186157-Otjqe0Ov.jpg,https://shop.billa.at/produkte/billa-bio-kiwi-00490096
00312736,Clever Eier aus Bodenhaltung M,,"3,80 €",,11g,00312736,Art. Nr.: 00-312736,Clever Eier aus Bodenhaltung M online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-312736-1172552531-DVC4APUy.jpg,https://shop.billa.at/produkte/clever-eier-aus-bodenhaltung-m-00312736
00431081,Ja! Natürlich Apfel Tasse rot,,"3,04 €",per 1 kg,"Ab 0,8 kg Tasse",00431081,Art. Nr.: 00-431081,Ja! Natürlich Apfel Tasse rot online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-431081-0275194093-ImRiFZkz.jpg,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081
00769750,Coca Cola,,"1,39 €","1 Liter 4,21 €","1 Liter 4,21 €",00769750,Art. Nr.: 00-769750,Coca Cola online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769750-0179665502-nX7kxsXA.jpg,https://shop.billa.at/produkte/coca-cola-00769750
00443218,BILLA Bio Räucherlachs,,"4,99 €",100 g Stück,100 g Stück,00443218,Art. Nr.: 00-443218,BILLA Bio Räucherlachs online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-443218-0812482651-pHpJ9juO.jpg,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218
0088818,Ja! Natürlich Eier L,,"3,99 €",,,12345678,Art. Nr.: 00-88818,Ja! Natürlich Eier L online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-88818-0689350647-gNcAyNIt.jpg,https://shop.billa.at/produkte/ja-natuerlich-eier-l-0088818
00424344,Ja! Natürlich Hendlfilet,,"31,99 €",per 1 kg,"Ab 0,4 kg",00424344,Art. Nr.: 00-424344,Ja! Natürlich Hendlfilet online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-424344-0543024342-z9tNR5FI.jpg,https://shop.billa.at/produkte/ja-natuerlich-hendlfilet-00424344
00410607,SanLucar Heidelbeeren,,"2,49 €","1 kg 19,92 €",125 g Tasse,00410607,Art. Nr.: 00-410607,SanLucar Heidelbeeren online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410607-0121154353-IItANmtY.jpg,https://shop.billa.at/produkte/sanlucar-heidelbeeren-00410607
00769494,Vöslauer Mild,,"0,99 €","1 Liter 0,66 €","1 Liter 0,66 €",00769494,Art. Nr.: 00-769494,Vöslauer Mild online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769494-1871579760-6R8Yy3WP.jpg,https://shop.billa.at/produkte/voeslauer-mild-00769494
00522747,Clever Taschentücher Box,,"1,19 €",,,00522747,Art. Nr.: 00-522747,Clever Taschentücher Box online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-522747-1073064402-UPqE22y1.jpg,https://shop.billa.at/produkte/clever-taschentuecher-box-00522747
00420428,Clever Sauerrahm 15%,,"0,99 €","1 kg 3,96 €",250 g Becher,00420428,Art. Nr.: 00-420428,Clever Sauerrahm 15% online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-420428-0300639936-2YcqREpW.jpg,https://shop.billa.at/produkte/clever-sauerrahm-15-00420428
00769546,Waldquelle Mineralwasser Spritzig,,"0,69 €","1 Liter 1,38 €","1 Liter 1,38 €",00769546,Art. Nr.: 00-769546,Waldquelle Mineralwasser Spritzig online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769546-1077401627-cDVLwbA5.jpg,https://shop.billa.at/produkte/waldquelle-mineralwasser-spritzig-00769546
00882279,Clever Ungarische Salami,,"1,99 €",100 g Packung,100 g Packung,00882279,Art. Nr.: 00-882279,Clever Ungarische Salami online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-882279-1946036991-nr6YjHgb.jpg,https://shop.billa.at/produkte/clever-ungarische-salami-00882279
0089380,Nektarinen aus Italien / Spanien,,"2,56 €",1 kg Korb,1 kg Korb,12345678,Art. Nr.: 00-89380,Nektarinen aus Italien / Spanien online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89380-220443319-dqpubsE2.jpg,https://shop.billa.at/produkte/nektarinen-aus-italien-spanien-0089380
00411113,Da komm ich her! Paprika Rot,,"1,61 €","1 kg 5,53 €","~0,3g",00411113,Art. Nr.: 00-411113,Da komm ich her! Paprika Rot online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-411113-0140843969-syopbRPC.jpg,https://shop.billa.at/produkte/da-komm-ich-her-paprika-rot-00411113
00558624,Clever Passierte Tomaten,,"0,69 €","1 kg 1,38 €",500 g Packung,00558624,Art. Nr.: 00-558624,Clever Passierte Tomaten online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-558624-0170377816-I-xW1Z0_.jpg,https://shop.billa.at/produkte/clever-passierte-tomaten-00558624
00412357,Ja! Natürlich Frankfurter,,"3,49 €","100 g 1,59 €",220 g Packung,00412357,Art. Nr.: 00-412357,Ja! Natürlich Frankfurter online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-412357-557742726-wmzGF0K3.jpg,https://shop.billa.at/produkte/ja-natuerlich-frankfurter-00412357
0089614,Ja! Natürlich Suppentasse,,"2,75 €","1 kg 5,50 €",500 g Tasse,12345678,Art. Nr.: 00-89614,Ja! Natürlich Suppentasse online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89614-991929664-7cZek2S6.jpg,https://shop.billa.at/produkte/ja-natuerlich-suppentasse-0089614
00891643,Ja! Natürlich Hafer Drink,,"1,79 €","1 Liter 1,79 €",1 liter Packung,00891643,Art. Nr.: 00-891643,Ja! Natürlich Hafer Drink online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-891643-0200802575-x5ocuAps.jpg,https://shop.billa.at/produkte/ja-natuerlich-hafer-drink-00891643
00771412,Softis Toilettenpapier supersoft,,"9,99 €",,Gewicht: 1 540 g,00771412,Art. Nr.: 00-771412,Softis Toilettenpapier supersoft online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-771412-574319893-K_q5XgNm.jpg,https://shop.billa.at/produkte/softis-toilettenpapier-supersoft-00771412
00757279,Landgraf Märzen,,"0,59 €",,"500 ml 0,59 €",00757279,Art. Nr.: 00-757279,Landgraf Märzen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-757279-1908087-y68rMRyj.jpg,https://shop.billa.at/produkte/landgraf-maerzen-00757279
00288648,Kelly's Chips Classic Gesalzen,,"2,99 €","100 g 1,99 €",150 g Packung,00288648,Art. Nr.: 00-288648,Kelly's Chips Classic Gesalzen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-288648-0238714879-r0x0DHnP.jpg,https://shop.billa.at/produkte/kellys-chips-classic-gesalzen-00288648
00296815,Clever Extrawurst Geschnitten,,"1,49 €","100 g 0,75 €",200 g Packung,00296815,Art. Nr.: 00-296815,Clever Extrawurst Geschnitten online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-296815-1293750651-RFbZBn_4.jpg,https://shop.billa.at/produkte/clever-extrawurst-geschnitten-00296815
0054308,Wiener Zucker Staubzucker,,"1,29 €","1 kg 2,58 €",500 g Packung,12345678,Art. Nr.: 00-54308,Wiener Zucker Staubzucker online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-54308-494302185-ByPlyGFA.jpg,https://shop.billa.at/produkte/wiener-zucker-staubzucker-0054308
00410646,Da komm ich her! Paprika Tricolore,,"3,80 €","1 kg 5,53 €","~0,3g",00410646,Art. Nr.: 00-410646,Da komm ich her! Paprika Tricolore online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410646-0942881486-qH3m33PY.jpg,https://shop.billa.at/produkte/da-komm-ich-her-paprika-tricolore-00410646
0089012,SanLucar Mandarinen,,"2,99 €","1 kg 3,99 €",750 g Netz,12345678,Art. Nr.: 00-89012,SanLucar Mandarinen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89012-530620093-mzKwZSXr.jpg,https://shop.billa.at/produkte/sanlucar-mandarinen-0089012
00307536,Clever Avocado,,"0,99 €",per 1 kg,"Ab 4,5 kg",00307536,Art. Nr.: 00-307536,Clever Avocado online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-307536-814934158-EX6XapeX.jpg,https://shop.billa.at/produkte/clever-avocado-00307536
